!Property,!Text,!Note
SettingsBandwidthInAlert,Уведомлять о превышении,Settings bandwidth in alert label
SettingsBandwidthInAlertTooltip,Устанавливает нижнее значение пропускной способности канала в Кбит/с или Кбайт/с при превышении которого происходит индикация на панели. Используйте 0 для отключения.,Settings bandwidth in alert tooltip
SettingsBandwidthOutAlert,Уведомлять о превышении,Settings bandwidth out alert label
SettingsBandwidthOutAlertTooltip,Устанавливает нижнее значение пропускной способности канала в Кбит/с или Кбайт/с при превышении которого происходит индикация на панели. Используйте 0 для отключения.,Settings bandwidth out alert tooltip
SettingsClickThrough,Пропускать нажатия мыши,Settings click through label
SettingsClickThroughTooltip,События мыши передаются сквозь панель. Это позволяет предотвратить взаимодействие с панелью диагностики.,Settings click through tooltip
SettingsCollapseMenuBar,Свернуть меню,Settings collapse menu bar label
SettingsCollapseMenuBarTooltip,Удаляет дополнительное пространство в верхней части панели диагностики.,Settings collapse menu bar tooltip
SettingsCoreLoads,Показать нагрузку ядра,Settings core loads label
SettingsCoreLoadsTooltip,Показывает процент загрузки всех ядер.,Settings core loads tooltip
SettingsCustomizeTab,Вид,Title of the settings customize tab
SettingsDateFormat,Формат даты,Settings date format label
SettingsDateFormatDisabled,Отключен,Settings date format disabled value
SettingsDateFormatTooltip,Формат даты на панели диагностики.,Settings date format tooltip
SettingsDock,Пристыковать,Dock settings label
SettingsDockBottom,Вниз,Dock bottom settings label
SettingsDockLeft,Слева,Dock left settings label
SettingsDockRight,Справа,Dock right settings label
SettingsDockTooltip,Устанавливает к какому краю будет прикреплена боковая панель.,Dock settings tooltip
SettingsDockTop,Наверх,Dock top settings label
SettingsDriveDetailsTooltip,Показывает дополнительные данные о диске как текст.,Settings drive details tooltip
SettingsFontColor,Цвет шрифта,Settings font color label
SettingsFontColorTooltip,Цвет текста и значков на панели диагностики.,Settings font color tooltip
SettingsFontSize,Размер шрифта,Settings font size label
SettingsFontSizeTooltip,Размер текста и значков на панели диагностики.,Settings font size tooltip
SettingsGeneralTab,Общие,Title of the settings general tab
SettingsHardwareColumn1,Включен,Settings hardware data grid enabled column header
SettingsHardwareColumn2,Оборудование,Settings hardware data grid hardware column header
SettingsHardwareEnabledTooltip,Включить это оборудование.,Settings hardware enabled checkbox tooltip
SettingsHardwareNameTooltip,Нажмите для изменения названия этого оборудования.,Settings hardware name tooltip
SettingsHorizontalOffset,Смещение по горизонтали,Horizontal offset settings label
SettingsHorizontalOffsetTooltip,Смещение панели диагностики по горизонтали.,Horizontal offset settings tooltip
SettingsHotkeyClose,Закрыть,Settings hotkey close label
SettingsHotkeyCycleEdge,Изменить положение,Settings hotkey switch edge
SettingsHotkeyCycleScreen,Сменить экран,Settings hotkey switch screen
SettingsHotkeyHide,Скрыть,Settings hotkey hide label
SettingsHotkeyReload,Перезапуск,Settings hotkey reload label
SettingsHotkeyShow,Показать,Settings hotkey show label
SettingsHotkeysTab,Горячие клавиши,Title of the settings hotkeys tab
SettingsHotkeyToggle,Переключить,Settings hotkey toggle label
SettingsLanguage,Язык,Settings language label
SettingsLanguageDefault,По умолчанию,Settings language default label
SettingsLanguageTooltip,Текущий язык приложения.,Settings language tooltip
SettingsMetrics,Метрики:,Settings metrics label with colon
SettingsMetricsTooltip,Включить/отключить показатели.,Settings metrics tooltip
SettingsMonitorEnabledTooltip,Включает этот монитор.,Settings monitor enabled checkbox tooltip
SettingsMonitorsColumn1,Включен,Settings monitors data grid enabled column header
SettingsMonitorsColumn2,Монитор,Settings monitors data grid monitor column header
SettingsMonitorsSubtitle1,Щелкните по строке с монитором для изменения его параметров.,Settings monitors subtitle line one
SettingsMonitorsSubtitle2,Перетащите строку монитора для изменения порядка отображения на панели.,Settings monitors subtitle line two
